区市町村名,学校名,募集人員の計,最終応募人員の計,最終応募倍率の計
千代田,日比谷,254,581,2.29
港,三田,237,405,1.71
新宿,戸山,253,490,1.94
文京,竹早,178,338,1.90
文京,向丘,253,376,1.49
台東,上野,253,458,1.81
墨田,日本橋,212,271,1.28
墨田,本所,222,310,1.40
江東,城東,253,457,1.81
江東,深川,222,368,1.66
品川,大崎,222,333,1.50
品川,小山台,253,383,1.51
品川,八潮,150,154,1.03
目黒,駒場,253,406,1.60
目黒,目黒,191,410,2.15
大田,大森,159,77,0.48
大田,蒲田,87,133,1.53
大田,田園調布,170,350,2.06
大田,雪谷,222,414,1.86
世田谷,桜町,253,316,1.25
世田谷,千歳丘,222,236,1.06
世田谷,深沢,144,120,0.83
世田谷,松原,190,291,1.53
渋谷,青山,222,446,2.01
渋谷,広尾,155,351,2.26
中野,鷺宮,222,460,2.07
中野,武蔵丘,254,497,1.96
杉並,杉並,254,382,1.50
杉並,豊多摩,253,491,1.94
杉並,西,253,462,1.83
豊島,豊島,253,506,2.00
豊島,文京,285,495,1.74
荒川,竹台,184,233,1.27
板橋,板橋,254,326,1.28
板橋,大山,171,140,0.82
板橋,北園,254,457,1.80
練馬,高島,253,330,1.30
練馬,井草,254,412,1.62
練馬,石神井,253,485,1.92
練馬,田柄,135,75,0.56
練馬,練馬,191,236,1.24
練馬,光丘,185,156,0.84
足立,青井,152,105,0.69
足立,足立,222,336,1.51
足立,足立新田,210,218,1.04
足立,足立西,158,186,1.18
足立,足立東,123,160,1.30
足立,淵江,253,481,1.90
葛飾,北,212,219,1.03
葛飾,葛飾野,254,317,1.25
葛飾,南葛飾,162,183,1.13
江戸川,江戸川,286,435,1.52
江戸川,葛西南,192,189,0.98
江戸川,小岩,285,515,1.81
江戸川,小松川,254,313,1.23
江戸川,篠崎,223,277,1.24
江戸川,紅葉川,222,286,1.29
八王子,片倉,191,300,1.57
八王子,八王子北,160,208,1.30
八王子,八王子東,253,325,1.28
八王子,富士森,282,426,1.51
八王子,松が谷,222,313,1.41
立川,立川,222,310,1.40
武蔵野,武蔵野北,191,296,1.55
青梅,多摩,159,107,0.67
府中,府中,222,448,2.02
府中,府中西,236,314,1.33
府中,府中東,241,349,1.45
昭島,昭和,253,478,1.89
昭島,拝島,222,236,1.06
調布,神代,253,487,1.92
調布,調布北,190,281,1.48
調布,調布南,191,391,2.05
町田,小川,253,349,1.38
町田,成瀬,222,290,1.31
町田,野津田,96,69,0.72
町田,町田,254,312,1.23
町田,山崎,140,138,0.99
小金井,小金井北,191,269,1.41
小平,小平,159,215,1.35
小平,小平西,223,286,1.28
小平,小平南,222,345,1.55
日野,日野,286,401,1.40
日野,日野台,243,344,1.42
日野,南平,254,381,1.50
東村山,東村山,119,208,1.75
東村山,東村山西,191,186,0.97
国立,国立,253,372,1.47
福生,福生,222,278,1.25
狛江,狛江,254,434,1.71
東大和,東大和,222,283,1.27
東大和,東大和南,222,313,1.41
清瀬,清瀬,253,277,1.09
東久留米,久留米西,190,231,1.22
武蔵村山,武蔵村山,222,223,1.00
多摩,永山,234,260,1.11
羽村,羽村,202,137,0.68
あきる野,秋留台,137,132,0.96
あきる野,五日市,129,45,0.35
西東京,田無,253,367,1.45
西東京,保谷,254,364,1.43
大島,大島,80,36,0.45
新島,新島,40,8,0.20
神津島,神津,40,14,0.35
三宅,三宅,40,4,0.10
八丈,八丈,77,37,0.48
小笠原,小笠原,30,29,0.97
